id,nombre,edad,ciudad,carrera,semestre,promedio,trabaja,ingreso_mensual,internet,computadora
57,Ana 57,18,Guatemala,Ing. Electrónica,10,93,True,2262,True,False
58,Paola 58,18,Antigua,Ing. Electrónica,4,65,True,5522,True,False
59,Carlos 59,30,Guatemala,Ing. Sistemas,7,96,True,2870,False,True
60,Sofía 60,21,Quetzaltenango,Ing. Eléctrica,2,87,True,5197,True,False
61,Andrés 61,25,Guatemala,Ing. Sistemas,2,100,True,6828,False,False
62,Sofía 62,25,Antigua,Ing. Sistemas,6,67,False,5771,False,True
63,Carlos 63,24,Antigua,Ing. Sistemas,2,60,True,5452,False,True
64,Carlos 64,26,Villa Nueva,Ing. Electrónica,9,82,True,7562,False,False
65,Luis 65,26,Antigua,Ing. Electrónica,7,76,True,2053,True,True
66,Javier 66,30,Antigua,Ing. Electrónica,10,67,True,3846,False,True
67,Andrés 67,30,Mixco,Ing. Eléctrica,4,77,False,2642,True,True
68,Javier 68,27,Villa Nueva,Ing. Eléctrica,9,96,False,2017,True,False
69,Luis 69,19,Antigua,Ing. Electrónica,8,83,False,6980,False,True
70,Ana 70,18,Mixco,Ing. Electrónica,1,93,False,7874,False,False
71,Sofía 71,19,Antigua,Ing. Electrónica,2,97,False,7562,False,False
72,Lucía 72,24,Villa Nueva,Ing. Eléctrica,2,92,True,7727,True,False
73,Andrés 73,23,Guatemala,Ing. Eléctrica,10,93,False,7411,False,True
74,Luis 74,18,Antigua,Ing. Sistemas,10,77,False,2278,False,True
75,Luis 75,29,Mixco,Ing. Eléctrica,3,92,False,6888,True,True
76,Luis 76,21,Guatemala,Ing. Electrónica,8,89,False,2245,False,True
77,Sofía 77,30,Mixco,Ing. Eléctrica,8,91,True,7167,False,False
78,Andrés 78,30,Mixco,Ing. Eléctrica,1,97,True,2092,True,False
79,Javier 79,28,Antigua,Ing. Eléctrica,1,78,False,6454,False,True
80,Sofía 80,18,Villa Nueva,Ing. Eléctrica,2,83,True,6981,False,True
81,Andrés 81,27,Villa Nueva,Ing. Eléctrica,9,82,False,2765,False,False
82,Diego 82,18,Quetzaltenango,Ing. Sistemas,9,61,False,7843,True,True
83,Diego 83,27,Guatemala,Ing. Eléctrica,9,85,False,4992,True,False
84,Andrés 84,28,Villa Nueva,Ing. Sistemas,5,60,False,5189,True,False
85,Paola 85,25,Villa Nueva,Ing. Sistemas,8,100,False,5694,True,False
86,Ana 86,23,Mixco,Ing. Electrónica,8,81,True,7017,True,True
87,Luis 87,29,Guatemala,Ing. Electrónica,10,64,True,7502,False,False
88,Andrés 88,28,Antigua,Ing. Eléctrica,5,84,False,4557,True,True
89,Diego 89,22,Antigua,Ing. Eléctrica,6,90,True,2421,False,True
90,Javier 90,23,Mixco,Ing. Electrónica,1,95,False,2121,False,True
91,María 91,28,Quetzaltenango,Ing. Electrónica,3,65,False,7379,True,False
92,Sofía 92,30,Quetzaltenango,Ing. Eléctrica,6,91,True,2440,True,False
93,Javier 93,23,Quetzaltenango,Ing. Eléctrica,5,85,True,6088,False,False
94,Paola 94,28,Antigua,Ing. Electrónica,7,73,True,2197,False,False
95,Carlos 95,26,Antigua,Ing. Electrónica,7,66,True,6295,False,False
96,Lucía 96,28,Guatemala,Ing. Electrónica,4,72,True,5299,True,False
97,Ana 97,28,Quetzaltenango,Ing. Sistemas,8,86,True,3733,True,True
98,Andrés 98,24,Antigua,Ing. Electrónica,6,95,True,2074,True,False
99,Lucía 99,30,Guatemala,Ing. Eléctrica,8,78,True,5947,False,False
100,Paola 100,23,Antigua,Ing. Electrónica,7,74,False,3637,True,False
101,Sofía 101,26,Antigua,Ing. Electrónica,4,76,False,7604,True,False
102,María 102,29,Antigua,Ing. Electrónica,6,77,True,7009,False,True
103,Lucía 103,23,Mixco,Ing. Electrónica,10,66,False,3870,False,True
104,María 104,30,Mixco,Ing. Eléctrica,8,97,True,5276,False,False
105,Diego 105,29,Mixco,Ing. Sistemas,8,66,False,3142,False,False
106,Paola 106,18,Mixco,Ing. Electrónica,1,70,True,2526,True,True
107,Diego 107,24,Mixco,Ing. Sistemas,5,98,False,6312,False,True
108,María 108,25,Villa Nueva,Ing. Sistemas,4,60,True,3280,True,True
109,María 109,19,Mixco,Ing. Electrónica,9,75,True,4040,False,True
110,María 110,25,Quetzaltenango,Ing. Eléctrica,9,89,False,6440,False,True
111,Carlos 111,22,Quetzaltenango,Ing. Eléctrica,9,68,False,3432,False,False
112,Javier 112,29,Guatemala,Ing. Electrónica,2,88,True,7957,False,False
113,Luis 113,26,Quetzaltenango,Ing. Eléctrica,5,69,True,4083,False,False
114,Diego 114,21,Quetzaltenango,Ing. Eléctrica,9,78,True,6753,True,False
115,Andrés 115,25,Quetzaltenango,Ing. Eléctrica,5,70,True,6731,True,False
116,Carlos 116,28,Antigua,Ing. Sistemas,4,89,False,7970,True,False
117,Diego 117,24,Guatemala,Ing. Eléctrica,2,95,True,3592,False,False
118,Lucía 118,27,Guatemala,Ing. Eléctrica,2,86,True,5469,False,True
119,Andrés 119,24,Quetzaltenango,Ing. Sistemas,6,62,True,2307,True,False
120,Carlos 120,22,Quetzaltenango,Ing. Electrónica,3,95,True,6360,False,False
121,María 121,29,Guatemala,Ing. Electrónica,9,64,False,2248,True,True
122,Paola 122,22,Guatemala,Ing. Electrónica,2,97,True,5644,True,False
123,Javier 123,24,Villa Nueva,Ing. Sistemas,8,95,False,3678,True,False
124,María 124,23,Quetzaltenango,Ing. Sistemas,6,96,True,3599,True,False
125,Diego 125,21,Quetzaltenango,Ing. Sistemas,8,73,True,7611,False,False
126,Luis 126,21,Guatemala,Ing. Electrónica,10,97,False,3525,True,False
127,Andrés 127,21,Guatemala,Ing. Eléctrica,4,85,False,2394,False,False
128,Javier 128,19,Mixco,Ing. Sistemas,10,83,True,7718,False,True
129,Luis 129,28,Quetzaltenango,Ing. Sistemas,6,77,True,2886,False,True
130,Carlos 130,18,Villa Nueva,Ing. Eléctrica,3,71,True,7680,False,True
131,Sofía 131,30,Mixco,Ing. Sistemas,8,97,True,6231,True,True
132,Javier 132,30,Mixco,Ing. Electrónica,3,95,True,7396,False,True
133,María 133,20,Villa Nueva,Ing. Eléctrica,8,92,False,7898,False,False
134,Carlos 134,27,Quetzaltenango,Ing. Eléctrica,6,90,False,4999,False,True
135,Luis 135,30,Villa Nueva,Ing. Eléctrica,5,80,False,7581,True,False
136,Ana 136,23,Guatemala,Ing. Electrónica,7,100,False,7807,True,False
137,María 137,24,Villa Nueva,Ing. Eléctrica,4,71,True,4872,True,False
138,Javier 138,30,Antigua,Ing. Sistemas,7,89,False,2820,False,False
139,Andrés 139,18,Mixco,Ing. Sistemas,10,83,True,7595,False,False
140,Javier 140,25,Mixco,Ing. Electrónica,8,75,True,2422,False,True
141,María 141,21,Guatemala,Ing. Electrónica,10,80,True,2045,True,False
142,Lucía 142,26,Villa Nueva,Ing. Electrónica,9,69,False,3075,False,True
143,María 143,25,Villa Nueva,Ing. Sistemas,2,98,False,2348,True,True
144,Ana 144,20,Villa Nueva,Ing. Eléctrica,9,96,False,7217,False,False
145,Sofía 145,19,Guatemala,Ing. Electrónica,1,65,True,2133,False,False
146,Luis 146,19,Villa Nueva,Ing. Eléctrica,7,66,True,2230,True,True
147,Andrés 147,19,Quetzaltenango,Ing. Sistemas,8,64,False,6448,True,True
148,Luis 148,27,Villa Nueva,Ing. Eléctrica,8,89,False,6622,False,False
149,Diego 149,19,Villa Nueva,Ing. Eléctrica,5,86,False,4469,False,False
150,Ana 150,23,Quetzaltenango,Ing. Eléctrica,5,78,False,5054,True,True
151,Andrés 151,29,Quetzaltenango,Ing. Sistemas,9,92,True,5673,True,True
152,Javier 152,24,Quetzaltenango,Ing. Electrónica,7,63,False,6300,False,True
153,Ana 153,23,Villa Nueva,Ing. Sistemas,4,69,True,6753,True,True
154,Carlos 154,18,Quetzaltenango,Ing. Sistemas,6,67,False,3611,True,True
155,Paola 155,28,Villa Nueva,Ing. Electrónica,4,86,True,6861,False,True
156,Carlos 156,30,Quetzaltenango,Ing. Electrónica,9,100,False,3453,True,False
157,Andrés 157,20,Villa Nueva,Ing. Electrónica,2,86,False,4645,False,True
158,Sofía 158,24,Guatemala,Ing. Eléctrica,3,89,True,2601,False,True
159,Paola 159,25,Mixco,Ing. Electrónica,3,73,False,6758,False,True
160,Carlos 160,21,Guatemala,Ing. Eléctrica,2,72,True,3448,True,True
161,Javier 161,27,Guatemala,Ing. Eléctrica,7,77,True,6214,False,True
162,Lucía 162,27,Mixco,Ing. Electrónica,5,84,False,6582,False,True
163,Carlos 163,26,Villa Nueva,Ing. Sistemas,4,82,False,5819,True,True
164,Diego 164,30,Antigua,Ing. Sistemas,9,65,False,6621,True,True
165,María 165,30,Villa Nueva,Ing. Electrónica,8,68,False,5173,True,False
166,Ana 166,29,Villa Nueva,Ing. Eléctrica,4,93,True,5368,False,False
167,Javier 167,30,Mixco,Ing. Electrónica,6,71,True,5123,False,False
168,Ana 168,22,Guatemala,Ing. Eléctrica,1,85,True,2527,False,True
169,María 169,26,Villa Nueva,Ing. Eléctrica,2,86,True,2136,False,True
170,Diego 170,20,Quetzaltenango,Ing. Electrónica,8,60,False,2529,False,True
171,María 171,18,Villa Nueva,Ing. Eléctrica,6,91,False,2300,False,True
172,Diego 172,21,Antigua,Ing. Sistemas,8,71,False,2767,True,True
173,Paola 173,28,Guatemala,Ing. Eléctrica,3,89,False,3876,True,False
174,Diego 174,28,Villa Nueva,Ing. Eléctrica,10,80,False,3413,False,False
175,Lucía 175,21,Quetzaltenango,Ing. Eléctrica,8,78,True,3353,True,False
176,Lucía 176,30,Guatemala,Ing. Eléctrica,2,82,False,7358,False,False
177,Carlos 177,27,Quetzaltenango,Ing. Electrónica,8,81,True,5604,True,True
178,Paola 178,26,Villa Nueva,Ing. Sistemas,4,100,True,6321,True,True
179,Ana 179,29,Quetzaltenango,Ing. Sistemas,2,80,False,4657,False,False
180,María 180,21,Guatemala,Ing. Sistemas,9,64,True,2840,True,False
181,Carlos 181,26,Guatemala,Ing. Sistemas,1,79,False,7683,True,False
182,Lucía 182,30,Guatemala,Ing. Eléctrica,10,62,True,7401,True,True
183,María 183,22,Guatemala,Ing. Electrónica,2,61,True,4970,False,False
184,Carlos 184,27,Mixco,Ing. Sistemas,4,75,False,7649,False,False
185,Carlos 185,22,Antigua,Ing. Sistemas,9,80,True,4847,True,True
186,Ana 186,26,Quetzaltenango,Ing. Sistemas,7,97,True,5301,False,False
187,Javier 187,21,Quetzaltenango,Ing. Electrónica,7,83,True,5542,False,True
188,Sofía 188,18,Quetzaltenango,Ing. Eléctrica,2,78,False,7118,True,False
189,Javier 189,30,Guatemala,Ing. Sistemas,6,81,False,4000,False,False
190,Luis 190,24,Guatemala,Ing. Eléctrica,2,84,False,7381,True,True
191,Javier 191,21,Mixco,Ing. Sistemas,10,78,True,6083,True,True
192,Sofía 192,20,Quetzaltenango,Ing. Sistemas,9,95,False,6365,False,False
193,Paola 193,19,Mixco,Ing. Electrónica,4,69,True,3153,False,False
194,Sofía 194,26,Mixco,Ing. Sistemas,4,81,False,3650,True,True
195,Lucía 195,26,Mixco,Ing. Electrónica,5,91,True,3157,False,True
196,María 196,20,Antigua,Ing. Electrónica,4,91,True,5248,True,False
197,Carlos 197,24,Guatemala,Ing. Eléctrica,9,100,True,5449,True,True
198,María 198,27,Mixco,Ing. Sistemas,2,91,False,6282,False,True
199,María 199,25,Antigua,Ing. Electrónica,9,60,True,4822,True,False
200,Ana 200,24,Villa Nueva,Ing. Electrónica,8,95,False,7269,True,True
201,Diego 201,23,Mixco,Ing. Eléctrica,3,98,False,7458,True,False
202,María 202,24,Antigua,Ing. Electrónica,10,68,False,4254,False,False
203,Sofía 203,28,Quetzaltenango,Ing. Electrónica,4,65,True,7799,True,False
204,Lucía 204,27,Guatemala,Ing. Sistemas,6,61,True,3096,False,True
205,Javier 205,27,Antigua,Ing. Electrónica,4,93,True,7014,False,False
206,Andrés 206,27,Villa Nueva,Ing. Sistemas,9,89,False,5633,True,False
207,Paola 207,30,Mixco,Ing. Sistemas,9,61,False,6536,False,False
208,Sofía 208,19,Guatemala,Ing. Electrónica,10,79,True,3773,False,False
209,Carlos 209,29,Guatemala,Ing. Sistemas,3,71,False,5913,True,False
210,Andrés 210,24,Guatemala,Ing. Sistemas,8,69,False,7633,True,False
211,Lucía 211,22,Guatemala,Ing. Electrónica,2,72,True,3283,False,False
212,Ana 212,20,Mixco,Ing. Eléctrica,10,99,True,2486,False,False
213,Lucía 213,25,Quetzaltenango,Ing. Eléctrica,5,81,True,2387,False,False
214,Paola 214,22,Villa Nueva,Ing. Sistemas,5,71,False,3591,False,True
215,Sofía 215,27,Quetzaltenango,Ing. Eléctrica,3,73,False,6536,True,True
216,Diego 216,27,Mixco,Ing. Sistemas,2,68,False,5123,True,False
217,Ana 217,18,Guatemala,Ing. Sistemas,7,95,True,3043,True,True
218,Andrés 218,18,Mixco,Ing. Electrónica,3,83,True,5569,True,False
219,Diego 219,19,Villa Nueva,Ing. Sistemas,1,100,False,7835,True,False
220,Carlos 220,27,Mixco,Ing. Electrónica,7,85,False,6791,True,False
221,Diego 221,28,Guatemala,Ing. Eléctrica,9,85,True,3167,True,False
222,Diego 222,28,Antigua,Ing. Eléctrica,4,89,False,6278,True,False
223,Luis 223,22,Quetzaltenango,Ing. Electrónica,6,87,True,5844,True,True
224,Lucía 224,19,Villa Nueva,Ing. Sistemas,1,78,False,4347,True,True
225,María 225,30,Mixco,Ing. Sistemas,5,69,False,7283,False,True
226,Carlos 226,24,Guatemala,Ing. Eléctrica,8,64,False,3810,False,False
227,Luis 227,25,Antigua,Ing. Sistemas,1,79,False,7248,True,True
228,Diego 228,28,Antigua,Ing. Sistemas,1,90,False,5213,False,True
229,Luis 229,18,Villa Nueva,Ing. Eléctrica,5,94,True,5341,True,False
230,Andrés 230,18,Mixco,Ing. Sistemas,10,84,False,3537,True,True
231,María 231,26,Villa Nueva,Ing. Electrónica,2,80,True,5169,True,False
232,Javier 232,25,Quetzaltenango,Ing. Eléctrica,2,77,False,5951,True,True
233,Lucía 233,29,Quetzaltenango,Ing. Eléctrica,7,100,False,6296,True,True
234,Lucía 234,28,Quetzaltenango,Ing. Eléctrica,7,100,True,3781,True,False
235,Paola 235,19,Quetzaltenango,Ing. Eléctrica,9,92,True,6329,True,True
236,Andrés 236,24,Mixco,Ing. Electrónica,9,65,False,2844,False,False
237,Diego 237,29,Guatemala,Ing. Eléctrica,8,88,True,3461,True,False
238,Diego 238,26,Antigua,Ing. Eléctrica,9,75,True,4193,False,False
239,Javier 239,18,Mixco,Ing. Electrónica,5,98,False,5576,True,True
240,Ana 240,26,Quetzaltenango,Ing. Electrónica,5,89,False,6767,True,False
241,María 241,24,Mixco,Ing. Eléctrica,2,81,False,4521,False,True
242,Diego 242,27,Antigua,Ing. Sistemas,3,66,False,2756,False,False
243,Lucía 243,22,Mixco,Ing. Sistemas,10,98,False,2719,False,True
244,Paola 244,24,Antigua,Ing. Eléctrica,7,63,False,5689,False,True
245,María 245,24,Mixco,Ing. Sistemas,8,76,True,6516,False,True
246,Ana 246,24,Mixco,Ing. Electrónica,1,65,False,7202,False,False
247,Ana 247,20,Mixco,Ing. Eléctrica,2,79,False,6961,False,True
248,Javier 248,21,Villa Nueva,Ing. Eléctrica,1,81,False,2392,True,True
249,María 249,26,Quetzaltenango,Ing. Eléctrica,9,68,True,3558,True,True
250,Andrés 250,19,Villa Nueva,Ing. Eléctrica,4,88,True,4503,True,False
251,Paola 251,23,Antigua,Ing. Eléctrica,6,99,False,2195,False,True
252,Carlos 252,19,Villa Nueva,Ing. Eléctrica,4,61,True,3376,False,True
253,Luis 253,25,Mixco,Ing. Electrónica,7,91,False,4177,True,True
254,Andrés 254,19,Mixco,Ing. Electrónica,10,87,False,4879,True,False
255,Luis 255,26,Villa Nueva,Ing. Sistemas,3,89,True,7474,False,True
256,Carlos 256,25,Guatemala,Ing. Eléctrica,8,89,True,7421,False,True
257,Paola 257,27,Quetzaltenango,Ing. Sistemas,2,74,True,7773,False,False
258,Paola 258,18,Mixco,Ing. Sistemas,10,62,True,7827,True,True
259,Sofía 259,19,Antigua,Ing. Electrónica,6,76,False,6667,True,False
260,Paola 260,26,Quetzaltenango,Ing. Electrónica,7,62,True,6021,True,True
261,Javier 261,21,Antigua,Ing. Electrónica,9,97,False,3908,False,False
262,Sofía 262,29,Guatemala,Ing. Sistemas,3,61,False,6779,False,False
263,Carlos 263,30,Antigua,Ing. Eléctrica,3,84,True,2295,True,True
264,María 264,29,Antigua,Ing. Electrónica,6,70,False,6374,False,False
265,Ana 265,22,Mixco,Ing. Sistemas,3,82,False,4721,True,False
266,Carlos 266,19,Guatemala,Ing. Eléctrica,2,86,False,4162,True,False
267,Diego 267,29,Guatemala,Ing. Eléctrica,3,70,False,7071,True,True
268,Lucía 268,23,Quetzaltenango,Ing. Sistemas,6,100,False,2690,True,False
269,Ana 269,30,Antigua,Ing. Sistemas,3,69,True,2993,False,False
270,María 270,18,Guatemala,Ing. Sistemas,7,93,True,3127,True,False
271,Ana 271,28,Quetzaltenango,Ing. Eléctrica,1,100,True,2083,True,True
272,Carlos 272,28,Quetzaltenango,Ing. Electrónica,7,90,True,3413,True,False
273,Diego 273,23,Villa Nueva,Ing. Electrónica,2,97,True,2014,False,False
274,Carlos 274,26,Quetzaltenango,Ing. Eléctrica,8,93,True,2490,True,True
275,Sofía 275,30,Villa Nueva,Ing. Eléctrica,6,94,True,4787,True,True
276,María 276,21,Villa Nueva,Ing. Electrónica,6,100,True,3783,False,True
277,María 277,30,Quetzaltenango,Ing. Electrónica,10,91,True,2546,True,True
278,Ana 278,19,Villa Nueva,Ing. Eléctrica,5,94,True,3338,True,False
279,Diego 279,24,Mixco,Ing. Sistemas,1,78,True,3336,False,True
280,María 280,28,Quetzaltenango,Ing. Eléctrica,4,88,True,4462,False,False
281,Javier 281,21,Antigua,Ing. Eléctrica,3,65,True,6863,True,False
282,Lucía 282,23,Quetzaltenango,Ing. Electrónica,2,61,False,4966,True,True
283,Ana 283,18,Guatemala,Ing. Electrónica,10,76,True,6816,False,True
284,Diego 284,28,Villa Nueva,Ing. Eléctrica,5,92,False,3910,False,True
285,Andrés 285,18,Antigua,Ing. Electrónica,2,71,True,7241,True,True
286,Javier 286,24,Antigua,Ing. Electrónica,4,85,False,2608,True,False
287,Sofía 287,22,Guatemala,Ing. Sistemas,4,78,True,7354,True,False
288,Luis 288,20,Quetzaltenango,Ing. Sistemas,2,92,False,5794,False,True
289,María 289,24,Mixco,Ing. Eléctrica,7,99,True,7656,True,False
290,María 290,18,Antigua,Ing. Electrónica,2,69,True,6658,True,True
291,Sofía 291,29,Mixco,Ing. Electrónica,5,83,True,4859,True,False
292,Carlos 292,24,Mixco,Ing. Sistemas,7,100,True,2801,True,True
293,Javier 293,21,Guatemala,Ing. Sistemas,7,75,False,6133,False,False
294,Luis 294,29,Villa Nueva,Ing. Eléctrica,8,100,False,2333,True,True
295,Paola 295,24,Antigua,Ing. Electrónica,7,71,False,7439,True,False
296,Javier 296,27,Guatemala,Ing. Eléctrica,1,87,False,4240,False,False
297,Javier 297,27,Quetzaltenango,Ing. Eléctrica,7,65,True,7933,False,False
298,Andrés 298,25,Villa Nueva,Ing. Eléctrica,9,76,True,5656,True,False
299,Ana 299,18,Antigua,Ing. Eléctrica,10,91,True,2565,False,True
300,Ana 300,24,Mixco,Ing. Eléctrica,5,69,True,3183,False,False
301,María 301,21,Guatemala,Ing. Sistemas,6,94,True,6019,False,False
302,Carlos 302,26,Antigua,Ing. Sistemas,7,97,False,4137,True,True
303,Luis 303,19,Mixco,Ing. Electrónica,3,87,True,2774,True,True
304,Andrés 304,30,Villa Nueva,Ing. Sistemas,2,87,True,3527,False,False
305,Sofía 305,24,Antigua,Ing. Electrónica,9,74,False,5813,True,True
306,Lucía 306,19,Mixco,Ing. Sistemas,2,64,True,4698,False,True
307,Ana 307,24,Villa Nueva,Ing. Eléctrica,9,89,True,6435,False,False
308,Luis 308,22,Guatemala,Ing. Eléctrica,5,80,False,4021,True,True
309,Luis 309,26,Antigua,Ing. Eléctrica,2,81,True,4894,False,True
310,Andrés 310,19,Villa Nueva,Ing. Sistemas,10,76,False,2346,True,False
311,Sofía 311,28,Villa Nueva,Ing. Electrónica,5,94,False,5368,True,True
312,Ana 312,25,Guatemala,Ing. Sistemas,5,85,True,5210,True,True
313,Andrés 313,27,Quetzaltenango,Ing. Electrónica,1,94,True,6014,True,True
314,Luis 314,19,Mixco,Ing. Sistemas,2,60,False,6358,False,True
315,Sofía 315,21,Mixco,Ing. Sistemas,9,69,False,5446,False,True
316,María 316,19,Antigua,Ing. Sistemas,5,95,False,5208,False,False
317,Ana 317,22,Villa Nueva,Ing. Eléctrica,4,66,True,2978,False,True
318,María 318,24,Villa Nueva,Ing. Eléctrica,3,91,True,2120,True,True
319,Sofía 319,23,Guatemala,Ing. Electrónica,2,81,False,2345,True,False
320,Ana 320,30,Mixco,Ing. Eléctrica,10,65,False,2046,False,False
321,Diego 321,27,Mixco,Ing. Electrónica,8,97,False,7834,True,True
322,Javier 322,22,Antigua,Ing. Sistemas,2,71,False,5701,True,True
323,Carlos 323,20,Antigua,Ing. Sistemas,5,62,True,5435,True,True
324,Lucía 324,30,Villa Nueva,Ing. Electrónica,8,79,True,6019,False,True
325,Lucía 325,28,Antigua,Ing. Electrónica,3,84,False,5217,True,True
326,Andrés 326,20,Villa Nueva,Ing. Eléctrica,3,99,False,2944,True,True
327,Paola 327,20,Mixco,Ing. Sistemas,2,70,True,2382,True,True
328,María 328,27,Guatemala,Ing. Eléctrica,2,78,True,5541,False,True
329,Sofía 329,27,Antigua,Ing. Electrónica,2,73,True,3588,True,True
330,Andrés 330,22,Villa Nueva,Ing. Eléctrica,5,98,False,7982,False,True
331,Diego 331,26,Quetzaltenango,Ing. Sistemas,2,86,False,3911,False,False
332,Diego 332,28,Mixco,Ing. Eléctrica,3,95,True,4605,False,True
333,María 333,29,Antigua,Ing. Sistemas,2,73,False,7234,True,False
334,Javier 334,28,Antigua,Ing. Sistemas,5,83,True,5906,False,True
335,Ana 335,22,Guatemala,Ing. Eléctrica,1,94,True,7676,False,False
336,Carlos 336,23,Mixco,Ing. Electrónica,3,81,False,2434,True,False
337,Andrés 337,27,Antigua,Ing. Electrónica,8,69,False,7814,True,True
338,Paola 338,20,Guatemala,Ing. Eléctrica,3,64,False,7938,True,False
339,Javier 339,24,Villa Nueva,Ing. Eléctrica,10,78,False,3689,False,True
340,Sofía 340,26,Quetzaltenango,Ing. Sistemas,4,99,False,3145,False,False
341,Luis 341,24,Antigua,Ing. Eléctrica,6,99,False,3592,True,True
342,Andrés 342,21,Guatemala,Ing. Electrónica,9,99,False,7869,False,False
343,María 343,27,Antigua,Ing. Sistemas,7,67,True,7681,True,False
344,Javier 344,19,Antigua,Ing. Electrónica,4,95,True,6041,False,False
345,Luis 345,24,Villa Nueva,Ing. Sistemas,5,75,True,7837,True,True
346,Ana 346,20,Guatemala,Ing. Eléctrica,7,85,False,7182,False,True
347,Luis 347,27,Guatemala,Ing. Electrónica,1,82,False,2076,True,False
